CANAL,ORDEN,SKU,TITULO_MKT,CANTIDAD,MONTO,FECHA
PARIS,3040814000,KLEF0091,ENFRIADOR DE AIRE MISTRAL,14,1399860.0,2025-09-01
FALABELLA,2107678294,KLBC0074,POOLTEMP NEO INVERTER 13,1,1249990.0,2023-10-08
FALABELLA,2125822349,KLBC0074,POOLTEMP NEO INVERTER 13,1,1249990.0,2023-11-25
FALABELLA,2125939751,KLBC0074,POOLTEMP NEO INVERTER 13,1,1249990.0,2023-11-25
FALABELLA,2117084678,KLBC0073,POOLTEMP NEO INVERTER 9,1,1199990.0,2023-11-06
FALABELLA,2136393299,KLBC0073,POOLTEMP NEO INVERTER 9,1,1199990.0,2023-11-12
FALABELLA,2156468672,KLBC0073,POOLTEMP NEO INVERTER 9,1,1199990.0,2024-01-21
FALABELLA,2136147677,KLGE0003,WATSON 2200,2,999980.0,2023-11-12
FALABELLA,2102576612,KLBC0072,POOLTEMP NEO INVERTER 7,1,899990.0,2023-10-02
PARIS,2747957350,KLPB0018,4.27 X 2.75 X 1 m 8 m3,2,839980.0,2024-10-13
FALABELLA,2576335909,KLES0012,CALEFACTOR BIOSMART IR04,3,749970.0,2024-09-14
PARIS,2747055930,KLPB0018,4.27 X 2.75 X 1 m 8 m3,2,739980.0,2024-10-06
PARIS,2741247740,KLPB0018,4.27 X 2.75 X 1 m 8 m3,2,719980.0,2024-09-30
FALABELLA,2596284412,KLPB0018,4.27 X 2.75 X 1 m 8 m3,2,699980.0,2024-10-02
MERCADOLIBRE,2000012597496030,KLES0036,WALLY 1000 INVERTER,5,679220.0,2026-04-20
FALABELLA,2627601122,KLPB0029,"Ventanas 4x2,07x1,22 8 m3",1,649990.0,2024-11-13
FALABELLA,2627673592,KLPB0029,"Ventanas 4x2,07x1,22 8 m3",1,649990.0,2024-11-13
FALABELLA,2633259950,KLPB0029,"Ventanas 4x2,07x1,22 8 m3",1,649990.0,2024-11-21
FALABELLA,2633269074,KLPB0029,"Ventanas 4x2,07x1,22 8 m3",1,649990.0,2024-11-21
FALABELLA,2637453317,KLPB0029,"Ventanas 4x2,07x1,22 8 m3",1,649990.0,2024-11-27
FALABELLA,2637459677,KLPB0029,"Ventanas 4x2,07x1,22 8 m3",1,649990.0,2024-11-27
FALABELLA,2644731399,KLPB0029,"Ventanas 4x2,07x1,22 8 m3",1,649990.0,2024-11-30
FALABELLA,2674702820,KLPB0029,"Ventanas 4x2,07x1,22 8 m3",1,649990.0,2024-12-18
FALABELLA,2678604652,KLPB0029,"Ventanas 4x2,07x1,22 8 m3",1,649990.0,2024-12-21
FALABELLA,2679463735,KLPB0029,"Ventanas 4x2,07x1,22 8 m3",1,649990.0,2024-12-22
FALABELLA,2679628917,KLPB0029,"Ventanas 4x2,07x1,22 8 m3",1,649990.0,2024-12-22
FALABELLA,2680622659,KLPB0029,"Ventanas 4x2,07x1,22 8 m3",1,649990.0,2024-12-23
FALABELLA,2569592489,KLPB0018,4.27 X 2.75 X 1 m 8 m3,1,639990.0,2024-09-05
