SKU,Producto,Categoría actual en Bsale,Venta total ($),Unidades vendidas
KLGE0002,GENERADOR,Sin Tipo,71487384,261
KLES0012,ESTUFAS,Sin Tipo,27846050,101
KLES0088,CALEFACTOR MURAL,Sin Tipo,26995245,196
KLGE0003,GENERADOR,Sin Tipo,26143551,51
KLES0067,CALEFACTOR MURAL,Sin Tipo,21818799,281
KLBC0063,BOMBA DE CALOR,Sin Tipo,17411831,11
KLGE0015,GENERADOR,Sin Tipo,16453470,52
KLES0087,CALEFACTOR MURAL,Sin Tipo,13233085,107
KLES0089,CALEFACTOR MURAL,Sin Tipo,13057644,107
DESPACHOCENTRY,DESPACHO,Sin Tipo,11799018,50
KLBC0074,BOMBA DE CALOR,Sin Tipo,10667970,9
KLBC0090,BOMBA DE CALOR,Sin Tipo,8863611,4
KLBC0091,BOMBA DE CALOR,Sin Tipo,7849980,9
KLES0065,CALEFACTOR MURAL,Sin Tipo,7693810,102
KLBC0092,BOMBA DE CALOR,Sin Tipo,7172047,7
KLES0096,ESTUFAS,Sin Tipo,6787860,16
KLES0066,CALEFACTOR MURAL,Sin Tipo,6047378,101
KLBC0094,BOMBA DE CALOR,Sin Tipo,5249970,3
KLGE0013,GENERADOR,Sin Tipo,5210370,13
KLES0014,ESTUFAS,Sin Tipo,5140776,40
KLBC0084,BOMBA DE CALOR,Sin Tipo,3999990,1
KLBC0075,BOMBA DE CALOR,Sin Tipo,3289990,2
KLBC0095,BOMBA DE CALOR,Sin Tipo,1752972,2
KLPE005A,PÉRGOLA,Sin Tipo,1499990,1
TPPK0001,PÉRGOLA,Sin Tipo,1499990,1
KLES0093,ESTUFAS,Sin Tipo,1050130,8
LOJM0001,JARDÍN,Sin Tipo,899819,18
KLCP0005,MANTA TERMICA PISCINA,Sin Tipo,740188,5
KLBC0098,BOMBA DE CALOR,Sin Tipo,709990,1
KLTM0051,TERMO ELECTRICO,Sin Tipo,561680,1
LOJM0002,JARDÍN,Sin Tipo,539940,6
KLES0073,ESTUFAS,Sin Tipo,499930,7
KLES0094,ESTUFAS,Sin Tipo,419970,3
KLBR0008,BRASERO,Sin Tipo,359980,2
KLES0069,ESTUFAS,Sin Tipo,359960,4
LOHE0004,HERRAMIENTAS ELECTRICAS,Sin Tipo,339980,2
KLES0036,CALEFACTOR MURAL,Sin Tipo,299980,2
KLES0092,ESTUFAS,Sin Tipo,299940,6
KLGE0018,GENERADOR,Sin Tipo,249990,1
KLES0086,ESTUFAS,Sin Tipo,220000,1
KLTE0001,TERMOSTATOS,Sin Tipo,170486,2
KLES0074,ESTUFAS,Sin Tipo,149990,1
LOIE0001,ILUMINACIÓN,Sin Tipo,134930,9
KLST0008,REPUESTO SSTT,Sin Tipo,120000,6
KLCP0001,MANTA TERMICA PISCINA,Sin Tipo,114990,1
KLVE0001,VENTILADOR,Sin Tipo,109980,2
KLES0032,CALEFACTOR MURAL,Sin Tipo,99990,1
KLES0070,ESTUFAS,Sin Tipo,99980,2
KLES0095,ESTUFAS,Sin Tipo,79990,1
LOHE0002,HERRAMIENTAS ELECTRICAS,Sin Tipo,59990,1
KLEF0092,MINI VENTILADOR JET,Sin Tipo,59980,2
LOIE0004,ILUMINACION EXTERIOR,Sin Tipo,49970,3
LOIE0002,ILUMINACION EXTERIOR,Sin Tipo,49950,5
KLES0004,ESTUFAS,Sin Tipo,35000,1
KLES0007,ESTUFAS,Sin Tipo,35000,1
KLES0083,ESTUFAS,Sin Tipo,25000,1
KLES0003,ESTUFAS,Sin Tipo,20000,1
EXTP0005,PRODUCTOS EXHIBICION KENNEDY,Sin Tipo,20000,2
KLST0000,REPUESTO SSTT,Sin Tipo,0,0
KLCA0035,CALEFONT,Sin Tipo,0,0
KLCA0042,CALEFONT,Sin Tipo,0,0
KLCL0098,CALDERAS,Sin Tipo,0,0
KLVA0038,VALVULAS,Sin Tipo,0,0
KLRP0003,REPUESTO,Sin Tipo,0,0
KLSE0004,SERVICIO,Sin Tipo,0,0
KLCL0150,CALDERAS,Sin Tipo,0,0
KLCL0152,CALDERAS,Sin Tipo,0,0
KLUM0001,UMA,Sin Tipo,0,0
KLTM0069,TERMO ELECTRICO,Sin Tipo,0,0
KLBR0002,BRASERO,Sin Tipo,0,0
KLEF0100,AIRE ACONDICIONADO,Sin Tipo,0,0
KLST0017,REPUESTO SSTT,Sin Tipo,0,0
KLCL0054,CALDERAS,Sin Tipo,0,0
KLBC0035,BOMBA DE CALOR,Sin Tipo,0,0
KLCL0142,CALDERAS,Sin Tipo,0,0
KLCH0001,CAPEHORN,Sin Tipo,0,0
KLAP0017,ACCESORIOS PISCINA,Sin Tipo,0,0
EXTP0012,PRODUCTOS EXHIBICION KENNEDY,Sin Tipo,0,0
KLVT0003,VENTILADOR,Sin Tipo,0,0
KLCA0043,CALEFONT,Sin Tipo,0,0
KLCL0040,CALDERAS,Sin Tipo,0,0
KLES0023,ESTUFAS,Sin Tipo,0,0
KLRA0051,RADIADORES,Sin Tipo,0,0
KLRA0055,RADIADORES,Sin Tipo,0,0
KLMA0015,MALLA ELECTRICA,Sin Tipo,0,0
